mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
63630-16,"IMETEOLABS PWS, модификация PWS 600",053972,2024-11-16T00:00:00Z,С-ДИЭ/17-11-2023/295210212,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ООО ""ИНЭКС СЕРТ""",True,1-295210212,2023-11-17T00:00:00Z,1782823738785398784,
63630-16,модификация PWS 500,051787,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984403,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984403,2023-11-16T00:00:00Z,1782796599205822464,
63630-16,модификация PWS 500,051784,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984402,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984402,2023-11-16T00:00:00Z,1782796599210016768,
63630-16,модификация PWS 500,051790,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984400,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984400,2023-11-16T00:00:00Z,1782796599216308224,
63630-16,модификация PWS 500,051783,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984405,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984405,2023-11-16T00:00:00Z,1782796599227842560,
63630-16,модификация PWS 500,051782,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984404,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984404,2023-11-16T00:00:00Z,1782796599230988288,
63630-16,модификация PWS 500,051788,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984395,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984395,2023-11-16T00:00:00Z,1782796603811168256,
63630-16,модификация PWS 500,051938,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984399,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984399,2023-11-16T00:00:00Z,1782796603830042624,
63630-16,модификация PWS 500,051795,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984398,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984398,2023-11-16T00:00:00Z,1782796603833188352,
63630-16,модификация PWS 500,051785,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984397,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984397,2023-11-16T00:00:00Z,1782796603837382656,
63630-16,модификация PWS 500,051791,2024-11-15T00:00:00Z,С-БЯ/16-11-2023/294984396,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-294984396,2023-11-16T00:00:00Z,1782796603840528384,
63630-16,PWS 500,034322,2024-11-15T00:00:00Z,С-В/16-11-2023/295947688,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-295947688,2023-11-16T00:00:00Z,1783186704635527168,
63630-16,PWS 500,038007,2024-11-15T00:00:00Z,С-В/16-11-2023/295947681,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-295947681,2023-11-16T00:00:00Z,1783186704681664512,
63630-16,PWS 600,053974,2024-11-12T00:00:00Z,С-ДЮП/13-11-2023/294402452,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-294402452,2023-11-13T00:00:00Z,1782540072983199744,
63630-16,PWS 600,053975,2024-11-12T00:00:00Z,С-ДЮП/13-11-2023/294402451,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-294402451,2023-11-13T00:00:00Z,1782540073011511296,
63630-16,"IMETEOLABS PWS, модификация PWS 600",048560,2024-11-09T00:00:00Z,С-ДИЭ/10-11-2023/293584964,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ООО ""ИНЭКС СЕРТ""",True,1-293584964,2023-11-10T00:00:00Z,1782189325949075456,
63630-16,"IMETEOLABS PWS, модификация PWS 600",050761,2024-11-07T00:00:00Z,С-ДИЭ/08-11-2023/293361745,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ООО ""ИНЭКС СЕРТ""",True,1-293361745,2023-11-08T00:00:00Z,1782164729649692672,
63630-16,"IMETEOLABS PWS, модификация PWS 600",050759,2024-11-07T00:00:00Z,С-ДИЭ/08-11-2023/292843702,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ООО ""ИНЭКС СЕРТ""",True,1-292843702,2023-11-08T00:00:00Z,1781985402185318400,
63630-16,IMETEOLABS PWS,52428,2024-11-06T00:00:00Z,С-ДЮП/07-11-2023/292718789,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-292718789,2023-11-07T00:00:00Z,1781934434771009536,
63630-16,"IMETEOLABS PWS, модификация PWS 500",042580,2024-11-06T00:00:00Z,С-ДЮП/07-11-2023/292602282,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-292903805,2023-11-07T00:00:00Z,1781991313642618880,
63630-16,"IMETEOLABS PWS, модификация PWS 600",052882,2024-11-01T00:00:00Z,С-ДЮП/02-11-2023/292258772,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-292258772,2023-11-02T00:00:00Z,1781898538038329344,
63630-16,"IMETEOLABS PWS, модификация PWS 500",053911,2024-10-25T00:00:00Z,С-ДЮП/26-10-2023/290425912,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-290425912,2023-10-26T00:00:00Z,1781201490553077760,
63630-16,"IMETEOLABS PWS, модификация PWS 500",053910,2024-10-25T00:00:00Z,С-ДЮП/26-10-2023/290425913,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-290425913,2023-10-26T00:00:00Z,1781201490557272064,
63630-16,"IMETEOLABS PWS, модификация PWS 500",053909,2024-10-23T00:00:00Z,С-ДЮП/24-10-2023/289159483,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-289159483,2023-10-24T00:00:00Z,1780718162015158272,
63630-16,"IMETEOLABS PWS, модификация PWS 500",053908,2024-10-22T00:00:00Z,С-ДЮП/23-10-2023/288858028,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-288858028,2023-10-23T00:00:00Z,1780637802580410368,
63630-16,"IMETEOLABS PWS, модификация PWS 500",053907,2024-10-22T00:00:00Z,С-ДЮП/23-10-2023/288858029,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-288858029,2023-10-23T00:00:00Z,1780637802598236160,
63630-16,"IMETEOLABS PWS, модификация PWS 600",053889,2024-10-16T00:00:00Z,С-ДЮП/17-10-2023/287553332,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-287553332,2023-10-17T00:00:00Z,1780102407637696512,
63630-16,"IMETEOLABS PWS, модификация PWS 600",053888,2024-10-16T00:00:00Z,С-ДЮП/17-10-2023/287553331,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-287553331,2023-10-17T00:00:00Z,1780102407656570880,
63630-16,"IMETEOLABS PWS, модификация PWS 500",053427,2024-10-11T00:00:00Z,С-ДЮП/12-10-2023/287161620,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-287161620,2023-10-12T00:00:00Z,1779997202657050624,
63630-16,"IMETEOLABS PWS, модификация PWS 500",053428,2024-10-11T00:00:00Z,С-ДЮП/12-10-2023/287161621,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-287161621,2023-10-12T00:00:00Z,1779997202668584960,
63630-16,"IMETEOLABS PWS, модификация PWS 200",053606,2024-10-11T00:00:00Z,С-ДЮП/12-10-2023/286058550,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-286058550,2023-10-12T00:00:00Z,1779560685402849280,
63630-16,"IMETEOLABS PWS, модификация PWS 600",053603,2024-10-09T00:00:00Z,С-ДЮП/10-10-2023/285568718,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-285568718,2023-10-10T00:00:00Z,1779452859962621952,
63630-16,PWS 500,050753,2024-09-28T00:00:00Z,С-ДЮП/29-09-2023/282579439,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-282579439,2023-09-29T00:00:00Z,1778632054237298688,
