mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
40333-09,WXT520,J3010012,2022-09-20T00:00:00Z,С-БТЦ/21-09-2021/96965136,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-96965136,2021-09-21T00:00:00Z,1774960500981891085,
40333-09,WXT520,J3010008,2022-09-20T00:00:00Z,С-БТЦ/21-09-2021/96965138,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-96965138,2021-09-21T00:00:00Z,1774960500982939651,
65362-16,WXT536,S3430102,2022-09-20T00:00:00Z,С-БТЦ/21-09-2021/96965089,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-96965089,2021-09-21T00:00:00Z,1774962773412806664,
65362-16,WXT536,S3430100,2022-09-20T00:00:00Z,С-БТЦ/21-09-2021/96965091,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-96965091,2021-09-21T00:00:00Z,1774962773412806665,
65362-16,WXT536,P5110560,2022-09-20T00:00:00Z,С-БТЦ/21-09-2021/96965092,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-96965092,2021-09-21T00:00:00Z,1774962773412806666,
65362-16,WXT536,P5110563,2022-09-20T00:00:00Z,С-БТЦ/21-09-2021/96965095,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-96965095,2021-09-21T00:00:00Z,1774962773412806667,
40333-14,WXT520,M2220050,2022-09-20T00:00:00Z,С-БТЦ/21-09-2021/96965126,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-96965126,2021-09-21T00:00:00Z,1774962773413855236,
40333-14,WXT520,M1020590,2022-09-20T00:00:00Z,С-БТЦ/21-09-2021/96965129,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-96965129,2021-09-21T00:00:00Z,1774962773413855237,
40333-14,WXT520,L4920151,2022-09-20T00:00:00Z,С-БТЦ/21-09-2021/96965130,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-96965130,2021-09-21T00:00:00Z,1774962773413855238,
40333-14,WXT520,N0230382,,И-БТЦ/21-09-2021/96965132,Непригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",False,1-96965132,2021-09-21T00:00:00Z,1774962773413855239,
65362-16,WХТ 536,R2930445,2022-09-19T00:00:00Z,С-ВЭГ/20-09-2021/95478374,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""СЕВЕРО-КАВКАЗСКОЕ УГМС""",True,1-95478374,2021-09-20T00:00:00Z,1774962696684306448,
40333-14,нет модификации,J1120020,2022-09-16T00:00:00Z,С-ГЧХ/17-09-2021/95465549,Пригодно,WXT520,Метеостанции автоматические,2021,"ООО ""ПРОММАШ ТЕСТ""",True,1-95465549,2021-09-17T00:00:00Z,1774962695991197704,
40333-09,Нет модификации,G0910005,2022-09-16T00:00:00Z,С-В/17-09-2021/96446701,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-96446701,2021-09-17T00:00:00Z,1774960393748217859,Нет данных
40333-14,Нет модификации,L3950656,2022-09-16T00:00:00Z,С-В/17-09-2021/96446706,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-96446706,2021-09-17T00:00:00Z,1774962741098840068,Нет данных
40333-14,Нет модификации,L3950658,2022-09-16T00:00:00Z,С-В/17-09-2021/96446708,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-96446708,2021-09-17T00:00:00Z,1774962741098840072,Нет данных
40333-09,Нет модификации,J1550012,2022-09-02T00:00:00Z,С-В/03-09-2021/92222646,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-92222646,2021-09-03T00:00:00Z,1774959201665155080,Нет данных
40333-09,WXT520,J0610014,2022-09-01T00:00:00Z,С-БТЦ/02-09-2021/91069864,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-91069864,2021-09-02T00:00:00Z,1774958653091086345,
65715-16,WXT530,N1020241,2022-09-01T00:00:00Z,С-БТЦ/02-09-2021/91069850,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-91069850,2021-09-02T00:00:00Z,1774962464924893198,
65715-16,WXT530,R2741115,2022-09-01T00:00:00Z,С-БТЦ/02-09-2021/91069853,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-91069853,2021-09-02T00:00:00Z,1774962464925941762,
65715-16,WXT530,R1810293,2022-09-01T00:00:00Z,С-БТЦ/02-09-2021/91069854,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-91069854,2021-09-02T00:00:00Z,1774962464925941767,
65362-16,WXT536,N4810037,2022-09-01T00:00:00Z,С-В/02-09-2021/90735389,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-90735389,2021-09-02T00:00:00Z,1774962444781748232,Нет данных
40333-14,Нет модификации,L3810385,2022-09-01T00:00:00Z,С-В/02-09-2021/90735390,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-90735390,2021-09-02T00:00:00Z,1774962444781748233,Нет данных
65362-16,WXT536,R4230504,2022-09-01T00:00:00Z,С-В/02-09-2021/92742618,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-92742618,2021-09-02T00:00:00Z,1774962584756158465,Нет данных
65362-16,WXT536,Т2150148,2022-08-30T00:00:00Z,С-БТЦ/31-08-2021/90428300,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-90428300,2021-08-31T00:00:00Z,1774962426098221056,
40333-09,WXT520,J4430013,2022-08-29T00:00:00Z,С-БТЦ/30-08-2021/90071359,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-90071359,2021-08-30T00:00:00Z,1774958199433068550,
35668-07,WXT510,B4340009,2022-08-26T00:00:00Z,С-БТЦ/27-08-2021/89882501,Пригодно,WXT510,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-89882501,2021-08-27T00:00:00Z,1774964519318061060,
35668-07,WXT510,B4310016,2022-08-26T00:00:00Z,С-БТЦ/27-08-2021/89882502,Пригодно,WXT510,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-89882502,2021-08-27T00:00:00Z,1774964519318061061,
40333-14,WXT520,K4530022,2022-08-26T00:00:00Z,С-БТЦ/27-08-2021/89882424,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-89882424,2021-08-27T00:00:00Z,1774962373971410955,
40333-09,WXT520,H0150007,2022-08-23T00:00:00Z,С-БТЦ/24-08-2021/88773004,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-88773004,2021-08-24T00:00:00Z,1774951053143310337,
65362-16,WXT536,R2741114,2022-08-22T00:00:00Z,С-БТЦ/23-08-2021/88772931,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-88772931,2021-08-23T00:00:00Z,1774951054337638406,
65362-16,WXT536,R2741111,2022-08-22T00:00:00Z,С-БТЦ/23-08-2021/88772932,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-88772932,2021-08-23T00:00:00Z,1774951054341832711,
65362-16,WXT536,R4220672,2022-08-22T00:00:00Z,С-БТЦ/23-08-2021/88772933,Пригодно,WXT530,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-88772933,2021-08-23T00:00:00Z,1774951054347075588,
40333-14,WXT520,K4240020,2022-08-22T00:00:00Z,С-БТЦ/23-08-2021/88773001,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-88773001,2021-08-23T00:00:00Z,1774962276676141072,
40333-09,WXT520,J4430012,2022-08-18T00:00:00Z,С-БТЦ/19-08-2021/88123011,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-88123011,2021-08-19T00:00:00Z,1774950408269070345,
40333-14,WXT520,L4920146,2022-08-18T00:00:00Z,С-БТЦ/19-08-2021/88123003,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-88123003,2021-08-19T00:00:00Z,1774962192179789824,
40333-14,WXT520,N0230389,2022-08-18T00:00:00Z,С-БТЦ/19-08-2021/88123006,Пригодно,WXT520,Метеостанции автоматические,2021,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-88123006,2021-08-19T00:00:00Z,1774962192179789825,
