mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
40331-14,Vantage Pro2,BB180417025,2024-05-17T00:00:00Z,С-БТЦ/18-05-2023/249451178,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-249451178,2023-05-18T00:00:00Z,1774870636780322823,
40331-14,Нет модификации,AM140808014,2024-05-14T00:00:00Z,С-В/15-05-2023/255458691,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-255458691,2023-05-15T00:00:00Z,1774870926455734277,
40331-14,Нет модификации,AS160104037,2024-05-14T00:00:00Z,С-В/15-05-2023/247481611,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-247481611,2023-05-15T00:00:00Z,1774870524103491584,
40331-09,Vantage Pro2,А91015А028,2024-05-10T00:00:00Z,С-СЕ/11-05-2023/246306934,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФБУ ""УРАЛТЕСТ""",True,1-246306934,2023-05-11T00:00:00Z,1774858100594966529,
40331-14,Нет модификации,BD190213014,2024-05-10T00:00:00Z,С-В/11-05-2023/248816149,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-248816149,2023-05-11T00:00:00Z,1774870579236569098,
40331-14,Нет модификации,ВС180723010,2024-05-10T00:00:00Z,С-В/11-05-2023/246572084,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-246572084,2023-05-11T00:00:00Z,1774870666119479296,
40331-14,Vantage Pro2,6152CEU,2024-05-09T00:00:00Z,С-ДЮП/10-05-2023/245294123,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-245294123,2023-05-10T00:00:00Z,1774870651710996483,
40331-14,Vantage Pro2,AP150908071,2024-05-04T00:00:00Z,С-БТЦ/05-05-2023/244239274,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-244239274,2023-05-05T00:00:00Z,1774870501944983552,
40331-14,Vantage Pro2,AM140407023,2024-05-04T00:00:00Z,С-БТЦ/05-05-2023/244239275,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-244239275,2023-05-05T00:00:00Z,1774870501946032129,
40331-14,Vantage Pro2,BE190702055,2024-05-04T00:00:00Z,С-БТЦ/05-05-2023/244239277,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-244239277,2023-05-05T00:00:00Z,1774870501946032133,
